LabID,Site,Transect,Datetime,Rep,Date,uMol/L N-NO3,uMol/L N-NH4,uMol/L P-PO4,mg/L N-NO3,mg/L N-NH4,mg/L P-PO4
MD19_2-1,MissDelta,Dead Creek,8/14/2019 9:53,,8/14/2019,15.701,1.44,0.144,0.22,0.02,0.004
MD19_2-2,MissDelta,Dead Creek,8/14/2019 9:57,,8/14/2019,15.974,0.995,0.061,0.224,0.014,0.002
MD19_2-3,MissDelta,Dead Creek,8/14/2019 10:01,,8/14/2019,16.222,1.114,0.095,0.227,0.016,0.003
MD19_2-4,MissDelta,Dead Creek,8/14/2019 10:05,,8/14/2019,16.936,1.21,0.068,0.237,0.017,0.002
MD19_2-5,MissDelta,Dead Creek,8/14/2019 10:09,,8/14/2019,16.856,1.264,0.14,0.236,0.018,0.004
MD19_2-6,MissDelta,Dead Creek,8/14/2019 10:13,,8/14/2019,16.926,1.056,0.139,0.237,0.015,0.004
MD19_2-7,MissDelta,Dead Creek,8/14/2019 10:17,,8/14/2019,17.319,1.267,0.065,0.243,0.018,0.002
MD19_2-8,MissDelta,Dead Creek,8/14/2019 10:21,,8/14/2019,17.724,1.021,0.068,0.248,0.014,0.002
MD19_2-9,MissDelta,Dead Creek,8/14/2019 10:25,,8/14/2019,17.807,1.001,0.081,0.249,0.014,0.003
MD19_2-10,MissDelta,Dead Creek,8/14/2019 10:29,,8/14/2019,18.044,1.226,0.07,0.253,0.017,0.002
MD19_2-11,MissDelta,Dead Creek,8/14/2019 10:33,,8/14/2019,18.03,1.098,0.062,0.253,0.015,0.002
MD19_2-12,MissDelta,Dead Creek,8/14/2019 10:37,,8/14/2019,18.081,1.017,0.088,0.253,0.014,0.003
MD19_2-13,MissDelta,Dead Creek,8/14/2019 10:41,,8/14/2019,17.148,0.841,0.063,0.24,0.012,0.002
MD19_2-14,MissDelta,Dead Creek,8/14/2019 10:45,,8/14/2019,17.851,0.771,0.052,0.25,0.011,0.002
MD19_2-15,MissDelta,Dead Creek,8/14/2019 10:49,,8/14/2019,17.621,0.832,0.05,0.247,0.012,0.002
MD19_2-16,MissDelta,Dead Creek,8/14/2019 10:53,,8/14/2019,17.534,0.777,0.134,0.246,0.011,0.004
MD19_2-17,MissDelta,Dead Creek,8/14/2019 10:57,,8/14/2019,17.647,0.809,0.069,0.247,0.011,0.002
MD19_2-18,MissDelta,Dead Creek,8/14/2019 11:01,,8/14/2019,17.709,0.806,0.048,0.248,0.011,0.001
MD19_2-19,MissDelta,Dead Creek,8/14/2019 11:05,,8/14/2019,17.658,0.729,0.052,0.247,0.01,0.002
MD19_2-20,MissDelta,Dead Creek,8/14/2019 11:10,,8/14/2019,17.461,0.732,0.082,0.245,0.01,0.003
MD19_2-21,MissDelta,Main,8/14/2019 11:52,,8/14/2019,15.289,1.085,0.074,0.214,0.015,0.002
MD19_2-22,MissDelta,Main,8/14/2019 11:57,,8/14/2019,15.074,0.575,0.053,0.211,0.008,0.002
MD19_2-23,MissDelta,Main,8/14/2019 12:05,,8/14/2019,14.943,0.908,0.104,0.209,0.013,0.003
MD19_2-24,MissDelta,Main,8/14/2019 12:10,,8/14/2019,15.443,1.418,0.061,0.216,0.02,0.002
MD19_2-25,MissDelta,Main,8/14/2019 12:17,,8/14/2019,14.98,0.848,0.085,0.21,0.012,0.003
MD19_2-26,MissDelta,Main,8/14/2019 12:22,,8/14/2019,15.694,0.963,0.071,0.22,0.013,0.002
MD19_2-27,MissDelta,Main,8/14/2019 12:46,,8/14/2019,13.945,1.232,0.082,0.195,0.017,0.003
MD19_2-28,MissDelta,Main,8/14/2019 12:51,,8/14/2019,14.808,1.024,0.119,0.207,0.014,0.004
MD19_2-29,MissDelta,Main,8/14/2019 12:56,,8/14/2019,15.413,0.925,0.116,0.216,0.013,0.004
MD19_2-30,MissDelta,Main,8/14/2019 13:01,,8/14/2019,15.26,1.075,0.069,0.214,0.015,0.002
MD19_2-31,MissDelta,Main,8/14/2019 13:05,,8/14/2019,15.497,0.816,0.082,0.217,0.011,0.003
MD19_2-32,MissDelta,Main,8/14/2019 13:09,,8/14/2019,15.705,0.883,0.094,0.22,0.012,0.003
MD19_2-33,MissDelta,Main,8/14/2019 13:13,,8/14/2019,14.925,0.931,0.082,0.209,0.013,0.003
MD19_2-34,MissDelta,Main,8/14/2019 13:17,,8/14/2019,15.246,1.072,0.068,0.214,0.015,0.002
MD19_2-35,MissDelta,Main,8/14/2019 13:21,,8/14/2019,15.654,1.162,0.079,0.219,0.016,0.002
MD19_2-36,MissDelta,Main,8/14/2019 13:26,,8/14/2019,15.913,1.274,0.134,0.223,0.018,0.004
MD19_2-37,MissDelta,Main,8/14/2019 13:30,,8/14/2019,15.089,0.729,0.13,0.211,0.01,0.004
MD19_2-38,MissDelta,Main,8/14/2019 13:35,,8/14/2019,16.022,1.229,0.069,0.224,0.017,0.002
MD19_2-39,MissDelta,Main,8/14/2019 13:39,,8/14/2019,15.84,0.902,0.077,0.222,0.013,0.002
MD19_2-40,MissDelta,Main,8/14/2019 13:43,,8/14/2019,15.872,0.806,0.074,0.222,0.011,0.002
MD19_2-41,MissDelta,Main,8/14/2019 13:47,,8/14/2019,15.851,1.027,0.075,0.222,0.014,0.002
MD19_2-42,MissDelta,Main,8/14/2019 13:51,,8/14/2019,15.712,1.171,0.077,0.22,0.016,0.002
MD19_2-43,MissDelta,Main,8/14/2019 13:55,,8/14/2019,14.994,1.194,0.087,0.21,0.017,0.003
MD19_2-44,MissDelta,Main,8/14/2019 13:59,,8/14/2019,15.956,1.479,0.087,0.223,0.021,0.003
MD19_2-45,MissDelta,Main,8/14/2019 14:03,,8/14/2019,16.175,1.357,0.106,0.227,0.019,0.003
MD19_2-46,MissDelta,Main,8/14/2019 14:07,,8/14/2019,15.967,1.322,0.076,0.224,0.019,0.002
MD19_2-47,MissDelta,Main,8/14/2019 14:11,,8/14/2019,16.168,1.492,0.058,0.226,0.021,0.002
MD19_2-48,MissDelta,Dead Creek,10/21/2019 10:06,,10/21/2019,14.233,1.966,0.126,0.217,0.028,0.004
MD19_2-50,MissDelta,Dead Creek,10/21/2019 10:12,,10/21/2019,14.364,2.203,0.24,0.201,0.031,0.007
MD19_2-51,MissDelta,Dead Creek,10/21/2019 10:19,,10/21/2019,13.996,2.478,0.403,0.196,0.035,0.012
MD19_2-52,MissDelta,Dead Creek,10/21/2019 10:24,,10/21/2019,14.215,1.732,0.319,0.199,0.024,0.01
MD19_2-53,MissDelta,Dead Creek,10/21/2019 10:30,,10/21/2019,13.803,1.892,0.298,0.193,0.027,0.009
MD19_2-54,MissDelta,Dead Creek,10/21/2019 10:35,,10/21/2019,14.062,2.094,0.283,0.197,0.029,0.009
MD19_2-55,MissDelta,Dead Creek,10/21/2019 10:40,,10/21/2019,13.668,1.722,0.225,0.191,0.024,0.007
MD19_2-56,MissDelta,Dead Creek,10/21/2019 10:45,,10/21/2019,14.233,1.533,0.205,0.199,0.021,0.006
MD19_2-57,MissDelta,Dead Creek,10/21/2019 10:50,,10/21/2019,13.923,1.719,0.227,0.195,0.024,0.007
MD19_2-58,MissDelta,Dead Creek,10/21/2019 10:55,,10/21/2019,13.73,1.552,0.221,0.192,0.022,0.007
MD19_2-59,MissDelta,Dead Creek,10/21/2019 11:00,,10/21/2019,14.393,1.62,0.21,0.202,0.023,0.006
MD19_2-60,MissDelta,Dead Creek,10/21/2019 11:04,,10/21/2019,14.215,1.668,0.245,0.199,0.023,0.008
MD19_2-61,MissDelta,Dead Creek,10/21/2019 11:08,,10/21/2019,14.597,1.13,0.216,0.204,0.016,0.007
MD19_2-62,MissDelta,Dead Creek,10/21/2019 11:12,,10/21/2019,13.792,1.584,0.255,0.193,0.022,0.008
MD19_2-63,MissDelta,Dead Creek,10/21/2019 11:16,,10/21/2019,13.923,1.786,0.267,0.195,0.025,0.008
MD19_2-64,MissDelta,Dead Creek,10/21/2019 11:20,,10/21/2019,13.898,1.568,0.247,0.195,0.022,0.008
MD19_2-65,MissDelta,Dead Creek,10/21/2019 11:24,,10/21/2019,13.908,1.331,0.233,0.195,0.019,0.007
MD19_2-66,MissDelta,Main,10/21/2019 12:05,,10/21/2019,13.857,1.713,0.201,0.194,0.024,0.006
MD19_2-67,MissDelta,Main,10/21/2019 12:11,,10/21/2019,14.382,1.684,0.243,0.201,0.024,0.008
MD19_2-68,MissDelta,Main,10/21/2019 12:17,,10/21/2019,13.898,1.729,0.25,0.195,0.024,0.008
MD19_2-69,MissDelta,Main,10/21/2019 12:23,,10/21/2019,14.338,1.745,0.225,0.201,0.024,0.007
MD19_2-70,MissDelta,Main,10/21/2019 12:29,,10/21/2019,14.003,1.745,0.264,0.196,0.024,0.008
MD19_2-71,MissDelta,Main,10/21/2019 12:47,,10/21/2019,14.51,1.703,0.203,0.203,0.024,0.006
MD19_2-72,MissDelta,Main,10/21/2019 12:52,,10/21/2019,14.637,1.777,0.198,0.205,0.025,0.006
MD19_2-73,MissDelta,Main,10/21/2019 12:57,,10/21/2019,14.652,2.203,0.232,0.205,0.031,0.007
MD19_2-74,MissDelta,Main,10/21/2019 13:02,,10/21/2019,14.561,2.135,0.223,0.204,0.03,0.007
MD19_2-75,MissDelta,Main,10/21/2019 13:07,,10/21/2019,14.473,2.123,0.239,0.203,0.03,0.007
MD19_2-76,MissDelta,Main,10/21/2019 13:12,,10/21/2019,14.688,1.773,0.277,0.206,0.025,0.009
MD19_2-77,MissDelta,Main,10/21/2019 13:17,,10/21/2019,14.648,1.94,0.322,0.205,0.027,0.01
MD19_2-78,MissDelta,Main,10/21/2019 13:22,,10/21/2019,14.867,2.03,0.287,0.208,0.028,0.009
MD19_2-79,MissDelta,Main,10/21/2019 13:28,,10/21/2019,15.151,1.847,0.239,0.212,0.026,0.007
MD19_2-80,MissDelta,Main,10/21/2019 13:32,,10/21/2019,14.787,2.052,0.241,0.207,0.029,0.007
MD19_2-81,MissDelta,Main,10/21/2019 13:36,,10/21/2019,14.903,2.183,0.206,0.209,0.031,0.006
MD19_2-82,MissDelta,Main,10/21/2019 13:40,,10/21/2019,14.972,2.116,0.519,0.21,0.03,0.016
MD19_2-83,MissDelta,Main,10/21/2019 13:44,,10/21/2019,14.983,2.167,0.446,0.21,0.03,0.014
MD19_2-84,MissDelta,Main,10/21/2019 13:48,,10/21/2019,14.798,2.174,0.298,0.207,0.03,0.009
MD19_2-85,MissDelta,Main,10/21/2019 13:52,,10/21/2019,14.958,1.543,0.298,0.21,0.022,0.009
MD19_2-86,MissDelta,Main,10/21/2019 13:56,,10/21/2019,14.921,1.886,0.202,0.209,0.026,0.006
MD19_2-87,MissDelta,Main,10/21/2019 14:01,,10/21/2019,14.856,1.786,0.201,0.208,0.025,0.006
MD19_2-88,MissDelta,Main,10/21/2019 14:05,,10/21/2019,14.914,1.607,0.233,0.209,0.023,0.007
MD19_2-89,MissDelta,Main,10/21/2019 14:09,,10/21/2019,14.488,1.706,0.245,0.203,0.024,0.008
MD19_2-90,MissDelta,Main,10/21/2019 14:13,,10/21/2019,14.284,1.665,0.218,0.2,0.023,0.007
MD19_2-91,MissDelta,Main,10/21/2019 14:17,,10/21/2019,14.353,1.479,0.376,0.201,0.021,0.012
MD19_2-92,MissDelta,Main,10/21/2019 14:21,,10/21/2019,14.287,1.677,0.197,0.2,0.023,0.006
MD19_2-93,MissDelta,Main,10/21/2019 14:24,,10/21/2019,14.353,1.719,0.221,0.201,0.024,0.007
