site,r_timestamp,turb_exo2_FNU,SampleID,NPOC_mgCL,NO3_mgNL,NH4_mgNL,PO4_mgPL,TDN_mgNL,TDP_mgPL,TN_mgNL,TP_mgPL,DIN_mgNL,DON_mgNL,PN_mgNL,DOP_mgPL,PP_mgPL
Hungerford,2019-05-07 14:50:00,5.630989899,NN19-018,NA,2.209949113,NA,0.01395394,2.223787732,0.03978884,2.751196014,0.0408408,NA,NA,0.5274082820000001,0.0258349,0.0010519599999999976
Hungerford,2019-05-22 14:45:00,3.13,NN19-021,NA,3.135287741,NA,0.01033396,3.366930546,0.02942394,3.42863006,0.0323323,NA,NA,0.06169951400000029,0.01908998,0.002908360000000002
Hungerford,2019-06-26 15:25:00,5.47,NN19-029,NA,1.20996878,NA,0.0111384,1.668352044,0.04538898,1.509460039,0.05838378,NA,NA,-0.158892005,0.03425058,0.0129948
Hungerford,2019-07-11 15:15:00,1.95,NN19-032,NA,0.57300009,NA,0.00847756,1.032868065,0.03477656,1.026999257,0.04142866,NA,NA,-0.005868808000000003,0.026298999999999996,0.006652100000000001
Hungerford,2019-08-12 16:15:00,5.92,NN19-041,NA,1.536548997,NA,0.0290836,2.223787732,0.06812988,2.044375912,0.0779688,NA,NA,-0.1794118199999999,0.03904628,0.009838920000000001
Hungerford,2019-10-22 13:00:00,2.7,NN19-064,NA,4.126920081,NA,0.02168894,4.216212794,0.04025294,4.214363909,0.04606966,NA,NA,-0.0018488849999993562,0.018564,0.0058167199999999974
Wade,2019-05-07 10:45:00,0.14,NN19-017,NA,0.266981709,NA,9.28e-4,0.352828773,0.0032487,0.344284686,0.00445536,NA,NA,-0.008544086999999978,0.0023207,0.00120666
Wade,2019-05-22 10:15:00,0,NN19-020,NA,0.119000923,NA,4.64e-4,0.192480071,0.00281554,0.182339221,0.00358904,NA,NA,-0.010140850000000007,0.00235154,7.734999999999999e-4
Wade,2019-06-26 13:15:00,0.12,NN19-028,NA,0.133721965,NA,0.0021658,0.204609874,0.00408408,0.194917237,0.00538356,NA,NA,-0.009692637000000004,0.0019182800000000005,0.0012994799999999996
Wade,2019-08-13 09:00:00,0.27,NN19-042,NA,0.155180229,NA,0.00600236,0.234051957,0.00522886,0.218952734,0.00442442,NA,NA,-0.015099222999999995,-7.734999999999999e-4,-8.0444e-4
Wade,2019-10-22 11:00:00,0,NN19-063,NA,0.012802124,NA,0.00380562,0.104111801,0.0038675,0.089923014,0.00420784,NA,NA,-0.014188787000000008,6.187999999999983e-5,3.403400000000002e-4
